1.119730601267376915e+04 2.399331286889402615e-01
2.210276147912290617e+04 2.375385769389729285e-01
3.354853800034859887e+04 2.337858581525234236e-01
4.430896853362041293e+04 2.168964494776797480e-01
5.586931431507976231e+04 2.357989647294056190e-01
6.622265503467577219e+04 2.282329483443618356e-01
7.729078581261770159e+04 2.329922085450111258e-01
8.882531236505339621e+04 2.266992202447259686e-01
1.005156419487796084e+05 2.294247849453484867e-01
1.102824310517780686e+05 2.301792803473049764e-01
1.228828074393096176e+05 2.106906530211133388e-01
1.327552460318494122e+05 2.103282736582998969e-01
1.434208390598592814e+05 2.201198037508375893e-01
1.549433087691254623e+05 2.253487291617211896e-01
1.673914968682100880e+05 2.184559746325271112e-01
1.780663458857692021e+05 2.432497477168458211e-01
1.894219487270266400e+05 2.388263547974120160e-01
2.015017182559700450e+05 2.342368284215839980e-01
2.110644517735874397e+05 2.456968000812043140e-01
2.210810070904454915e+05 2.618281380036793227e-01
2.315729213773837255e+05 2.448386809572452305e-01
2.425627539018638199e+05 2.574680007642559665e-01
